Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,Returns,RSI_14,Decision,Signal
2025-12-16,472.2099914550781,491.5,465.8299865722656,489.8800048828125,107608100,0.0,0.0,435.41900024414065,437.22440063476563,0.030653694218629735,81.38021424248655,SELL,-1
2025-12-17,488.2200012207031,495.2799987792969,466.2000122070313,467.260009765625,106490400,0.0,0.0,438.71950073242186,437.9078009033203,-0.04617456293730249,65.92296741329646,BUY,1
2025-12-18,478.1600036621094,490.8599853515625,473.1199951171875,483.3699951171875,95168400,0.0,0.0,442.6885009765625,438.80140075683596,0.034477560704677446,68.96476772074051,BUY,1
2025-12-19,488.1199951171875,490.489990234375,474.7200012207031,481.2000122070313,103305400,0.0,0.0,446.9870010375977,439.7146008300781,-0.004489279293453219,67.92836685551559,BUY,1
2025-12-22,489.8800048828125,498.8299865722656,485.3299865722656,488.7300109863281,86916100,0.0,0.0,451.8690017700195,441.2194012451172,0.015648376118613028,69.95907576972262,BUY,1
2025-12-23,489.3999938964844,491.9700012207031,482.8399963378906,485.55999755859375,58223600,0.0,0.0,455.25800170898435,442.21260131835936,-0.00648622625268469,64.40980096740941,BUY,1
2025-12-24,488.4800109863281,490.8999938964844,476.7999877929688,485.3999938964844,41285400,0.0,0.0,458.55800170898436,443.33580139160154,-0.00032952397832164415,62.14684557246573,BUY,1
2025-12-26,485.2300109863281,489.0899963378906,473.8200073242188,475.1900024414063,58780700,0.0,0.0,460.9885025024414,444.1366015625,-0.021034181259704465,57.378847599481624,BUY,1
2025-12-29,469.0,469.3999938964844,459.0,459.6400146484375,66263000,0.0,0.0,462.4620025634766,444.75440185546876,-0.032723726747357684,57.32438739191874,BUY,1
2025-12-30,461.0899963378906,463.1199951171875,453.8299865722656,454.4299926757813,59238500,0.0,0.0,463.67650146484374,445.0568017578125,-0.01133500523587172,53.39044430395392,BUY,1
2025-12-31,456.1000061035156,456.5499877929688,449.2999877929688,449.7200012207031,49078000,0.0,0.0,464.7005020141602,445.10260192871095,-0.010364613980130888,49.359207532931464,BUY,1
2026-01-02,457.7999877929688,458.3399963378906,435.2999877929688,438.0700073242188,85535400,0.0,0.0,464.26700286865236,445.012001953125,-0.02590499391813128,46.89611132733465,BUY,1
2026-01-05,447.989990234375,457.5499877929688,444.5700073242188,451.6700134277344,67940800,0.0,0.0,464.1240036010742,445.2660021972656,0.031045280151877908,47.46188330515541,BUY,1
2026-01-06,446.3800048828125,448.25,428.7799987792969,432.9599914550781,89093800,0.0,0.0,463.0220031738281,444.94560180664064,-0.041424095947095174,35.49359260486561,BUY,1
2026-01-07,435.8999938964844,438.3699951171875,431.2900085449219,431.4100036621094,59828800,0.0,0.0,462.61350402832034,444.89940185546874,-0.0035799792672750463,28.010526786954188,BUY,1
2026-01-08,427.8900146484375,436.8900146484375,424.3699951171875,435.7999877929688,57041100,0.0,0.0,462.145002746582,444.56700134277344,0.01017589785492734,36.288341175544225,BUY,1
2026-01-09,435.9500122070313,449.0499877929688,430.3900146484375,445.010009765625,67331500,0.0,0.0,461.82300262451173,444.2562017822266,0.02113359850994656,32.21110056308349,BUY,1
2026-01-12,441.2300109863281,454.2999877929688,438.0,448.9599914550781,61649600,0.0,0.0,461.92650146484374,444.0052014160156,0.00887616368794375,35.29196215486384,BUY,1
